1,Scratch_or_spot,196.0,9.0,318.0,63.0
1,Scratch_or_spot,63.0,119.0,287.0,162.0
2,Dent,142.0,199.0,182.0,305.0
3,Scratch_or_spot,305.0,278.0,372.0,314.0
3,Scratch_or_spot,376.0,307.0,438.0,352.0
3,Scratch_or_spot,444.0,351.0,500.0,382.0
3,Scratch_or_spot,489.0,391.0,534.0,427.0
4,Dent,430.0,379.0,471.0,418.0
4,Dent,339.0,391.0,414.0,433.0
5,Scratch_or_spot,177.0,166.0,208.0,183.0
5,Scratch_or_spot,260.0,96.0,332.0,146.0
5,Scratch_or_spot,652.0,148.0,677.0,175.0
5,Dent,486.0,472.0,748.0,582.0
6,Dent,550.0,311.0,600.0,389.0
7,Dent,199.0,223.0,380.0,385.0
8,Dent,198.0,135.0,432.0,244.0
9,Dent,238.0,85.0,422.0,258.0
10,Dent,510.0,207.0,535.0,236.0
10,Dent,419.0,331.0,508.0,379.0
11,Scratch_or_spot,234.0,278.0,267.0,315.0
12,Dent,407.0,234.0,536.0,309.0
12,Dent,370.0,258.0,402.0,317.0
13,Scratch_or_spot,315.0,277.0,348.0,309.0
13,Scratch_or_spot,354.0,283.0,372.0,329.0
13,Scratch_or_spot,362.0,354.0,392.0,412.0
14,Scratch_or_spot,575.0,367.0,619.0,402.0
15,Scratch_or_spot,595.0,184.0,685.0,222.0
15,Scratch_or_spot,260.0,57.0,367.0,102.0
16,Scratch_or_spot,497.0,161.0,618.0,301.0
17,Scratch_or_spot,408.0,182.0,499.0,266.0
18,Scratch_or_spot,720.0,512.0,890.0,608.0
18,Scratch_or_spot,753.0,627.0,1086.0,739.0
18,Scratch_or_spot,260.0,443.0,607.0,624.0
19,Scratch_or_spot,936.0,826.0,1011.0,878.0
20,Scratch_or_spot,755.0,576.0,942.0,732.0
21,Dent,247.0,448.0,453.0,576.0
22,Dent,129.0,211.0,160.0,244.0
22,Dent,160.0,228.0,183.0,256.0
22,Dent,188.0,243.0,246.0,298.0
23,Dent,202.0,275.0,284.0,315.0
24,Dent,188.0,310.0,507.0,517.0
25,Dent,261.0,60.0,353.0,145.0
25,Dent,226.0,182.0,323.0,334.0
26,Scratch_or_spot,373.0,495.0,403.0,547.0
26,Scratch_or_spot,400.0,461.0,422.0,488.0
27,Dent,8.0,325.0,455.0,384.0
28,Scratch_or_spot,414.0,291.0,419.0,312.0
28,Scratch_or_spot,353.0,269.0,387.0,298.0
28,Scratch_or_spot,389.0,347.0,409.0,368.0
28,Scratch_or_spot,196.0,350.0,238.0,365.0
